,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_vect__tokenizer,param_clf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,[ 0.62101641  0.08318839  0.07625165  1.90854421 32.73608685],"[2.55638090e-02 3.64850983e-03 1.93323328e-03 4.31530239e-02
 2.53946423e+00]",[0.13992929 0.01211033 0.01229763 0.06404977 0.04477963],[0.01199276 0.00133687 0.00103185 0.00145116 0.00286216],"[<test_different_pipelines.StemTokenizer object at 0x7fb9ef433ac0> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.StemTokenizer object at 0x7fb9ef433ac0>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.628 0.638 0.638 0.64  0.624],[0.60921844 0.60320641 0.60320641 0.61723447 0.58116232],[0.6252505  0.64529058 0.64529058 0.63126253 0.61322645],[0.67735471 0.62324649 0.62324649 0.63326653 0.61523046],[0.61923848 0.65330661 0.65330661 0.61723447 0.61923848],[0.63181242 0.63261002 0.63261002 0.6277996  0.61057154],[0.02366553 0.01772256 0.01772256 0.00909915 0.01515978],[3 1 1 4 5]
1,[ 0.39490881  0.10261955  0.10652852  2.02576213 30.98158002],[0.01263    0.00454701 0.00535066 0.18397736 3.37988696],[0.09477115 0.01575861 0.01574798 0.0662746  0.04740658],[0.00613132 0.00094801 0.00100131 0.00977922 0.00426103],"[<test_different_pipelines.StemTokenizer object at 0x7fb9bf3bb8e0> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.StemTokenizer object at 0x7fb9bf3bb8e0>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.626 0.638 0.638 0.628 0.63 ],[0.60921844 0.60320641 0.60320641 0.61723447 0.57314629],[0.62925852 0.64529058 0.64529058 0.61923848 0.62124248],[0.67735471 0.62324649 0.62324649 0.60721443 0.60721443],[0.62124248 0.65330661 0.65330661 0.60320641 0.62124248],[0.63261483 0.63261002 0.63261002 0.61497876 0.61056914],[0.02338119 0.01772256 0.01772256 0.00885053 0.02008543],[1 2 2 4 5]
2,[ 1.13382616  0.08005767  0.07847719  1.94399219 25.7444406 ],"[8.65231012e-01 3.83382030e-03 2.32804611e-03 6.46254458e-02
 4.38790733e+00]",[0.16656199 0.01183858 0.01219559 0.06538887 0.04713922],[0.01919871 0.00041804 0.00113376 0.00281765 0.00433302],"[<test_different_pipelines.StemTokenizer object at 0x7fb9bed645b0> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.StemTokenizer object at 0x7fb9bed645b0>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.63  0.638 0.638 0.652 0.62 ],[0.60921844 0.60320641 0.60320641 0.60921844 0.57715431],[0.62925852 0.64529058 0.64529058 0.62324649 0.61723447],[0.67935872 0.62324649 0.62324649 0.62124248 0.61122244],[0.61523046 0.65330661 0.65330661 0.61523046 0.61923848],[0.63261323 0.63261002 0.63261002 0.62418758 0.60896994],[0.02470911 0.01772256 0.01772256 0.01474717 0.01620318],[1 2 2 4 5]
3,[ 0.46622181  0.08175869  0.07861581  1.93906779 29.09691939],"[4.27699965e-02 3.72099020e-03 1.25380864e-03 4.83338835e-02
 3.81825213e+00]",[0.11385183 0.01186142 0.0123611  0.07291374 0.04142447],[0.01713988 0.00055021 0.00120367 0.01386456 0.0089577 ],"[<test_different_pipelines.StemTokenizer object at 0x7fb9bf1e8520> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.StemTokenizer object at 0x7fb9bf1e8520>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.62  0.638 0.638 0.648 0.618],[0.62124248 0.60320641 0.60320641 0.60521042 0.57915832],[0.62324649 0.64529058 0.64529058 0.62925852 0.61923848],[0.64729459 0.62324649 0.62324649 0.60320641 0.60521042],[0.62124248 0.65330661 0.65330661 0.61923848 0.61923848],[0.62660521 0.63261002 0.63261002 0.62098277 0.60816914],[0.0103969  0.01772256 0.01772256 0.01653014 0.01544078],[3 1 1 4 5]
4,[ 0.71807623  0.08246202  0.0842278   2.02910414 29.18271151],[0.02330126 0.00552314 0.00566748 0.09415515 3.43015071],[0.1639812  0.01203661 0.01241293 0.06512656 0.04461665],[0.00987269 0.00081325 0.00034007 0.00397905 0.00242055],"[<test_different_pipelines.StemTokenizer object at 0x7fb9be488610> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.StemTokenizer object at 0x7fb9be488610>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.628 0.638 0.638 0.658 0.618],[0.60921844 0.60320641 0.60320641 0.61923848 0.58316633],[0.6252505  0.64529058 0.64529058 0.63527054 0.61923848],[0.6753507  0.62324649 0.62324649 0.61322645 0.60721443],[0.61523046 0.65330661 0.65330661 0.61523046 0.62124248],[0.63061002 0.63261002 0.63261002 0.62819319 0.60977234],[0.02337262 0.01772256 0.01772256 0.01679736 0.01416537],[3 1 1 4 5]
5,"[2.28829384e-03 8.79195213e-02 8.26592922e-02 1.99606671e+00
 2.67573207e+01]","[7.15915017e-04 7.35166707e-03 2.46994450e-03 3.98651321e-02
 2.79248586e+00]",[0.         0.01462665 0.01341782 0.06467462 0.04655957],[0.         0.00186177 0.00169545 0.00584171 0.00861195],"[<test_different_pipelines.StemTokenizer object at 0x7fb9bb017b20> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.StemTokenizer object at 0x7fb9bb017b20>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[  nan 0.638 0.638 0.65  0.62 ],[       nan 0.60320641 0.60320641 0.61322645 0.5751503 ],[       nan 0.64529058 0.64529058 0.63727455 0.61523046],[       nan 0.62324649 0.62324649 0.61923848 0.60721443],[       nan 0.65330661 0.65330661 0.61923848 0.61923848],[       nan 0.63261002 0.63261002 0.62779559 0.60736673],[       nan 0.01772256 0.01772256 0.01372293 0.01673498],[5 1 1 3 4]
6,[ 0.60490804  0.07573495  0.08104968  1.89109945 26.51451535],"[2.05961267e-02 1.52132740e-03 3.70916677e-03 5.17288021e-02
 4.07801241e+00]",[0.14095631 0.01134267 0.01291957 0.06268315 0.04625797],[0.0079584  0.00052553 0.00061415 0.00331146 0.01482   ],"[<test_different_pipelines.StemTokenizer object at 0x7fb9be488670> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.StemTokenizer object at 0x7fb9be488670>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.626 0.638 0.638 0.648 0.622],[0.60721443 0.60320641 0.60320641 0.60921844 0.5751503 ],[0.62124248 0.64529058 0.64529058 0.62925852 0.61723447],[0.6753507  0.62324649 0.62324649 0.62725451 0.60721443],[0.61523046 0.65330661 0.65330661 0.61923848 0.62124248],[0.62900762 0.63261002 0.63261002 0.62659399 0.60856834],[0.02400741 0.01772256 0.01772256 0.01282004 0.01751995],[3 1 1 4 5]
7,[11.38557844  0.07629008  0.07563987  1.8587553  24.90432405],"[4.78528104e-01 7.04775005e-04 1.49117485e-03 7.67467496e-02
 1.75109629e+00]",[2.66954155 0.01166434 0.01174564 0.05877256 0.05009527],[0.22190741 0.00062797 0.00046359 0.00116011 0.00711245],"[<test_different_pipelines.SpacyPipeline object at 0x7fb9bb5eff40> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.SpacyPipeline object at 0x7fb9bb5eff40>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.418 0.638 0.638 0.634 0.616],[0.41883768 0.60320641 0.60320641 0.61523046 0.57715431],[0.41883768 0.64529058 0.64529058 0.61723447 0.61523046],[0.42084168 0.62324649 0.62324649 0.6252505  0.60921844],[0.42084168 0.65330661 0.65330661 0.61923848 0.62324649],[0.41947174 0.63261002 0.63261002 0.62219078 0.60816994],[0.00115962 0.01772256 0.01772256 0.00679039 0.01613401],[5 1 1 3 4]
8,[11.56800299  0.07694278  0.07738199  1.92750478 24.96931639],"[5.59927888e-01 3.70169076e-04 1.24516399e-03 1.25102591e-01
 1.74601909e+00]",[2.68595977 0.0124711  0.01178656 0.0681499  0.04147429],[0.1903526  0.00092025 0.00085814 0.01452788 0.0106808 ],"[<test_different_pipelines.SpacyPipeline object at 0x7fb9b218feb0> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.SpacyPipeline object at 0x7fb9b218feb0>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.444 0.638 0.638 0.65  0.622],[0.43887776 0.60320641 0.60320641 0.61723447 0.58717435],[0.43486974 0.64529058 0.64529058 0.61723447 0.6252505 ],[0.45290581 0.62324649 0.62324649 0.62925852 0.60721443],[0.48897796 0.65330661 0.65330661 0.62725451 0.62324649],[0.45192625 0.63261002 0.63261002 0.62819639 0.61297715],[0.01948231 0.01772256 0.01772256 0.01198115 0.01439792],[5 1 1 3 4]
9,[12.85675926  0.08714399  0.087993    1.93815193 25.25902963],[0.27475078 0.00736565 0.00624858 0.0273579  1.53441214],[3.23683424 0.01245213 0.0125351  0.06670446 0.04819856],[0.21573345 0.00067986 0.00104381 0.00402907 0.00542241],"[<test_different_pipelines.SpacyPipeline object at 0x7fb9b0bcdc30> None --
 -- --]",[-- -- LinearSVC() RandomForestClassifier() MLPClassifier()],"[{'vect__tokenizer': <test_different_pipelines.SpacyPipeline object at 0x7fb9b0bcdc30>}, {'vect__tokenizer': None}, {'clf': LinearSVC()}, {'clf': RandomForestClassifier()}, {'clf': MLPClassifier()}]",[0.418 0.638 0.638 0.646 0.622],[0.41883768 0.60320641 0.60320641 0.61723447 0.57915832],[0.41883768 0.64529058 0.64529058 0.62725451 0.61122244],[0.42084168 0.62324649 0.62324649 0.62124248 0.61322645],[0.42084168 0.65330661 0.65330661 0.61923848 0.61523046],[0.41947174 0.63261002 0.63261002 0.62619399 0.60816754],[0.00115962 0.01772256 0.01772256 0.01045536 0.01495113],[5 1 1 3 4]
