comment,sentiment
I'm totally diggin' it.,positive
me beth crowley is releasing new song today my parents what it called me don quite remember my parents okay then look it up,neutral
2 17 onwards is groundbreaking,positive
incredible drop,positive
bussin,neutral
wtf sounds like burning down alazka,neutral
at the verses his cleans sounds like noija vocalist and his screams sounds like matteo gelsomino ex novelists vocalist and both things are compliments for sure,positive
very cool sound powerful strong wish you success in your music career,positive
algo,neutral
mega,neutral
fuckin cant help but say dam yall are awesome an now are one my favorite bands,positive
wow this is awesome,positive
you know band is good when they catch you on the first listen picked up the 3 new tracks on itunes already wicked stuff boys,positive
wow that is an amazing track guys,positive
good luck getting this chorus out of your head awesome song,positive
we were meant to live for so much more,positive
homie on guitar in the vans shirt shredder,positive
how does your life measure up on maslow hierarchy let us know in the comments below and to join your fellow school of life audience members be sure to download our new free app https bit ly 2vysjqm,neutral
maslow missed out glaringly obvious need the need to not kill ones self there must be need to stay alive which is even more basic than hunger there is need that exists that stops suicidal people from killing themselves like fear curiosity belief need that motivates some to eat and drink etc,negative
taking master training specialist qualification and stumbled on this post careful with this author summation of the differences between the sections of maslow pyramid material vs spiritual is vital conflict and transition in ones life the author adeptly presents the oppositional efforts of the the first two sections of maslow pyramid of material survival as transgressions towards the upper three sections of the spiritual the error of presentation then comes when the author then builds their argument upon the upper sections by criticizing the myopic efforts of the material then re iterating the negative summation of material pursuits without applying the same measures to the upper part of the maslow pyramid to simplify essentially by focusing only on the material issues e urged to focus on money and housing material pursuits will result in neglect of upper spiritual however when addressing the upper parts of the spiritual the author begins their argument that material pursuits neglect the spiritual then proceeds to contrast the next part to where the audience expects contrasting example of negative efforts of sole spiritual instead encounters secondary but identical argument that material is negative and spiritual is good only the negative results are derived by material pursuits then re enforced on the second part by over exaggerating the negativity of material pursuits sooo the author thesis essentially states that the base of the maslow pyramid of material needs is negative and only the upper spiritual is positive completely neglecting maslow premise that the upper three section of spiritual needs is supported on the base of non neglectable base of two sections of material needs please reader take the time to establish if the video has logical premise or know you re proclivity to go down the rabbit hole who the bigger fool the fool or those who follow the fool,neutral
amazing how easy it is for people to misinterpret this model it not as simple as it appears most will get no where near self actualization cos it takes lot of self awareness and really knowing yourself admitting your faults,positive
nice,positive
what if the shape of try angel only existed under system of control that kept humanity working to meet their basic need while an elite made most of the profits from human labor what if their was more egalitarian system where basic needs were met with less effort thus higher levels could be obtained with less time and effort spent on lower needs what if the very shape of the levels of needs were being manipulated by the structures of our economy what if we as species were enslaved to those preexisting biases,neutral
great video but the moving pattern at the end did very ugly things to my brain like you might expect flashing lights to do had great difficulty typing this comment and am feeling very gross,negative
what an amazingly detailed breakdown in such condensed time frame this is great thanks,positive
thank you great video,positive
