,comment,sentiment
0,I'm totally diggin' it.,positive
1,me beth crowley is releasing new song today my parents what it called me don quite remember my parents okay then look it up,neutral
2,2 17 onwards is groundbreaking,positive
3,incredible drop,positive
4,bussin,neutral
5,wtf sounds like burning down alazka,neutral
6,at the verses his cleans sounds like noija vocalist and his screams sounds like matteo gelsomino ex novelists vocalist and both things are compliments for sure,positive
7,very cool sound powerful strong wish you success in your music career,positive
8,algo,neutral
9,mega,neutral
10,fuckin cant help but say dam yall are awesome an now are one my favorite bands,positive
11,wow this is awesome,positive
12,you know band is good when they catch you on the first listen picked up the 3 new tracks on itunes already wicked stuff boys,positive
13,wow that is an amazing track guys,positive
14,good luck getting this chorus out of your head awesome song,positive
15,we were meant to live for so much more,positive
16,homie on guitar in the vans shirt shredder,positive
17,how does your life measure up on maslow hierarchy let us know in the comments below and to join your fellow school of life audience members be sure to download our new free app https bit ly 2vysjqm,neutral
18,maslow missed out glaringly obvious need the need to not kill ones self there must be need to stay alive which is even more basic than hunger there is need that exists that stops suicidal people from killing themselves like fear curiosity belief need that motivates some to eat and drink etc,negative
19,taking master training specialist qualification and stumbled on this post careful with this author summation of the differences between the sections of maslow pyramid material vs spiritual is vital conflict and transition in ones life the author adeptly presents the oppositional efforts of the the first two sections of maslow pyramid of material survival as transgressions towards the upper three sections of the spiritual the error of presentation then comes when the author then builds their argument upon the upper sections by criticizing the myopic efforts of the material then re iterating the negative summation of material pursuits without applying the same measures to the upper part of the maslow pyramid to simplify essentially by focusing only on the material issues e urged to focus on money and housing material pursuits will result in neglect of upper spiritual however when addressing the upper parts of the spiritual the author begins their argument that material pursuits neglect the spiritual then proceeds to contrast the next part to where the audience expects contrasting example of negative efforts of sole spiritual instead encounters secondary but identical argument that material is negative and spiritual is good only the negative results are derived by material pursuits then re enforced on the second part by over exaggerating the negativity of material pursuits sooo the author thesis essentially states that the base of the maslow pyramid of material needs is negative and only the upper spiritual is positive completely neglecting maslow premise that the upper three section of spiritual needs is supported on the base of non neglectable base of two sections of material needs please reader take the time to establish if the video has logical premise or know you re proclivity to go down the rabbit hole who the bigger fool the fool or those who follow the fool,neutral
20,amazing how easy it is for people to misinterpret this model it not as simple as it appears most will get no where near self actualization cos it takes lot of self awareness and really knowing yourself admitting your faults,positive
21,nice,positive
22,what if the shape of try angel only existed under system of control that kept humanity working to meet their basic need while an elite made most of the profits from human labor what if their was more egalitarian system where basic needs were met with less effort thus higher levels could be obtained with less time and effort spent on lower needs what if the very shape of the levels of needs were being manipulated by the structures of our economy what if we as species were enslaved to those preexisting biases,neutral
23,great video but the moving pattern at the end did very ugly things to my brain like you might expect flashing lights to do had great difficulty typing this comment and am feeling very gross,negative
24,what an amazingly detailed breakdown in such condensed time frame this is great thanks,positive
25,thank you great video,positive
26,just thought but wish could design society around maslow hierarchy of needs basically meeting everyone needs starting with physiological and safety needs then developing communities to make real connections and build everyone self esteem hopefully self actualization would be achievable for more people my solution would be to encourage people at the top to help people at the bottom don think it that crazy and actually think it possible and maybe the most practical way to help as many people,neutral
27,two kinds of zealots versus our spiritual self actualization longings,neutral
28,maslow hierarchy is copy from greek books all the knowledge teached in the universities come from ancien greek remember that the greek said everything none can escape niche said something about this,negative
29,one of the best explanations of this pyramid,positive
30,but when people complain about not getting the third step they are told they are lazy ince and need to touch grass,negative
31,studied this in college and believe everyone on the planet is tied to this pyramid,positive
32,mhon matters that is soooo racist jk,positive
33,stop believing what they feed you,neutral
34,maslow hierarchy is jewish myth and total bullcrap just like,negative
35,maslow hierarchy is another jewish myth that has been propagated and is total bull crap,negative
36,merry christmas cat hope you have wonderful christmas greetings from oklahoma you ll be my violin lesson christmas gift,neutral
37,that was not my father just some random monster,neutral
38,don understand why you put gomez addam as thumbnail it make no sense to me,negative
39,sorry but this sucked,negative
40,adam,neutral
41,you re lucky me have already watched the movie lucky lucky me already watched the movie,neutral
42,fun fact dracula did say blah blah blah in hotel transylvania,neutral
43,very phine as s,neutral
44,guys gottah tell you something m gay,neutral
45,because all of disney cartoons are have the same cartoons,neutral
46,was kidding,neutral
47,you lair,negative
48,she look like wednesday,neutral
49,where are the addams,neutral
50,wednesday addams dads in there,neutral
51,jurassic park our jurassic world,neutral
52,dracula says bleh bleh bleh in hotel transylvania 3 when on his phone also he says it when he says he doesn say it,neutral
53,you sukkkkkkkk,negative
54,were is gomez,neutral
55,hold up that is wednesday dad,neutral
56,this video is filled with spoilers proceeds to play the film,negative
57,lost the match because of this know how much cheap people are,negative
58,pdf file follower,neutral
59,mashallah allah hu akbar,positive
60,vive la france god bless france,positive
61,is this really the place to push religious agenda,neutral
62,lol enough after so much of chanting they lost to france,neutral
63,and this is why they morocco lost the game want religion free free world,neutral
64,mashallah,positive
65,now mohammed army is defeated by france dogma beliefs has no scope in human consciousness,negative
66,and allah failed mohd didn get the msg probably the messenger has faulty communication lines,negative
67,that was to teach leçon to macron he was in the tribune for the semi final morocco vs france,neutral
68,muslims just want to convert everyone,negative
69,there mo allah there ni allah,neutral
70,no islam virus,negative
71,and then allah power didn work and france won fake allah,negative
72,islam phir haar gaya,neutral
73,god sent jesus and morocco behaviour towards other teams was disgusting they deserved to lose like satan,neutral
74,l00sers,negative
75,the whole muslim community is psyco,negative
76,lol lost,negative
77,gtpl pe review kar dijiye,neutral
78,one of the hardest things to do is to be ready to change your own mind,neutral
79,this is so good,positive
80,pitiful in way that all these tactics are necessary,neutral
81,don know when hear trevor noah speak don think charisma think whiny insulting far left hack he does do one thing properly when he hands down loses an argument he usually just shuts up on stunned silence,negative
82,havent watched video yet but one thing want people to think about fairness is simple manipulation is most effective when it seems simple,positive
83,jordan peterson is also an excellent source for this topic,positive
84,what rmany people don get is that you need to be able to think on the fly and respond instantaneously of which is skull that has ro be learned and if you can you can be pure tactitian and make people understand your argument by actively placing them into your perspective and having them play the issue out in their own skin by the merits of their own beliefs,neutral
85,ironic this comes in my mentions the last day trevor is on the daily show he truly is one of the worlds best all around speakers,positive
86,valuable points however raising your voice or showing passion doesn have to be bad thing likewise just trying to be diplomatic or avoiding confrontation for the sake can really lack substance and principle,positive
87,this proves that comedians are highly intelligent,positive
88,so pathetic don any of you have your own mojo or instincts or do you have to study every move you make through life how sheltered and wierd do you get b4 you start doing this kind of research,negative
89,someone you are gay me yes but,neutral
90,it important to let the other person know you hear them doesn mean you have to agree you may learn something in the process,neutral
91,he has come long way since his days on different strokes with gary coleman,positive
92,this is basically the opposite of what family member of mine does and he has openly admitted he doesn like debating many people have tried to get him to see other perspectives but he just gets angry and turns on them we got into terrible argument earlier this year and even after apologized for my part he refused to apologize for his or give any empathy any advice on how to deal with family member who is that extreme my current strategy is very little contact and only on subjects know we agree on so basically pets and jobs,neutral
93,pls dont use trevor noah as an example to us,negative
94,this is how love to speak have found however that not many others have the capacity to do so,positive
95,yeah he baited her like they always do ams they fall for it,negative
96,thus is why ilike trevor,positive
97,dig afro look 4ca better carer dude mjust moody,positive
98,it december 5 2022 my favorite radio station in the whole world is playing this song right now life does not get better than this,positive
99,2022 woot now sucks there tunes shit today but today is shittier than then pftt on us for losing the fun,negative
100,at 0 27 that little rift just makes me dance when it kicks,positive
101,had to cut the 50 s day line for the american audience,negative
102,cats,neutral
103,these freak,neutral
104,ireland,neutral
105,even though the clash had alotta hits mick jones big audio dynamit had 2 3 songs at least that knew enjoyed,positive
106,is that dude rapping clint mansell from pop will eat itself it looks lot like him but,neutral
107,dont,neutral
108,bet no,neutral
109,you see all those kids at 0 43 wearing identical white tees with black and red lines we were walking in our annual march for hunger 26 mile walk from skid row to santa monica to raise money to feed the homeless it was just coincidence we were there and we got to be in music video how la is that,neutral
110,thought these guys were american but should have known better by the teeth,negative
111,why do they keep repeating the same thing,negative
112,timeless,neutral
113,history is an art form,positive
114,ah so that where fergie got her groove from,neutral
115,on one of his songs he used lionel richie sample without crediting the original source he probably thinks richie has never heard of the clash,negative
116,where the party officer,neutral
117,was young when owned this cassette and no one else around me got it m glad did we res the party officer,positive
